3.0 0.003	39.6936	3.47799	2.96111
3.0 0.006	26.9847	2.59723	0.740328
3.0 0.009	20.7667	2.01472	0.197852
3.0 0.012	20.5633	2.13739	0.518419
3.0 0.015	17.4999	1.67476	0.077641
3.0 0.018	13.3093	1.55476	0.0705116
3.0 0.021	12.8818	1.28926	0.677582
3.0 0.024	8.42079	0.843842	0.0403608
3.0 0.027	8.65179	0.952071	0.297344
3.0 0.03	7.11185	0.663833	0.251926
3.0 0.033	6.34019	0.478553	0.14305
3.0 0.036	5.38066	0.516292	0.293888
3.0 0.039	5.84972	0.684576	0.190915
3.0 0.042	3.9562	0.41663	0.263036
3.0 0.045	4.0884	0.375191	0.0865709
3.0 0.048	3.299	0.357229	0.232406
3.0 0.051	3.00056	0.234432	0.217284
3.0 0.054	2.41408	0.268641	0.517127
3.0 0.057	2.30919	0.167658	0.483684
3.2 0.003	50.5538	3.76044	3.48715
3.2 0.006	36.6106	2.45683	4.6167
3.2 0.009	29.5313	1.86716	0.141733
3.2 0.012	23.1562	1.58399	0.42266
3.2 0.015	17.56	1.14134	0.822192
3.2 0.018	15.714	0.856297	1.42563
3.2 0.021	14.8417	1.04861	0.526579
3.2 0.024	12.6287	1.02804	0.626563
3.2 0.027	10.3106	0.762546	1.31213
3.2 0.03	9.74955	0.807138	0.638237
3.2 0.033	8.73696	0.571104	1.07065
3.2 0.036	7.87109	0.607356	0.299586
3.2 0.039	7.55867	0.554116	0.14941
3.2 0.042	6.41257	0.379081	0.193592
3.2 0.045	5.253	0.384992	0.0941316
3.2 0.048	4.63914	0.336089	0.127258
3.2 0.051	4.2735	0.306388	0.295822
3.2 0.054 	3.775	0.236653	0.220056
3.2 0.057 	3.25205	0.183355	0.281402
3.4 0.003	54.6488	3.67166	1.31521
3.4 0.006	45.1101	2.37959	2.05999
3.4 0.009	33.6866	1.90515	1.59619
3.4 0.012	29.4042	1.83353	1.34494
3.4 0.015	22.2285	1.22494	0.165127
3.4 0.018	21.4314	1.21646	1.31261
3.4 0.021	18.3216	1.12336	0.561181
3.4 0.024	16.861	1.0669	0.458334
3.4 0.027	13.1393	0.752371	0.199968
3.4 0.03	12.1581	0.747101	1.47473
3.4 0.033	10.8306	0.739907	0.217761
3.4 0.036	9.94063	0.65352	0.439429
